Quarter;-Max;-1000MW;-900MW;-800MW;-700MW;-600MW;-500MW;-400MW;-300MW;-200MW;-100MW;100MW;200MW;300MW;400MW;500MW;600MW;700MW;800MW;900MW;1000MW;Max
25/01/2023 00:00 -> 00:15;-250.00;-86.95;-86.95;-86.95;-86.95;-86.95;-86.95;-86.95;-86.95;-86.95;84.58;175.19;264.70;270.87;279.50;335.26;500.00;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 00:15 -> 00:30;-250.00;-86.84;-86.84;-86.84;-86.84;-86.84;-86.84;-86.84;-86.84;-86.84;84.58;175.19;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 00:30 -> 00:45;-250.00;-86.96;-86.96;-86.96;-86.96;-86.96;-86.96;-86.96;-86.96;-86.96;84.58;175.19;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 00:45 -> 01:00;-250.00;-87.04;-87.04;-87.04;-87.04;-87.04;-87.04;-87.04;-87.04;-87.04;84.58;175.19;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 01:00 -> 01:15;-250.00;-87.02;-87.02;-87.02;-87.02;-87.02;-87.02;-87.02;-87.02;-87.02;84.58;175.19;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 01:15 -> 01:30;-250.00;-86.53;-86.53;-86.53;-86.53;-86.53;-86.53;-86.53;-86.53;-86.53;84.46;175.19;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 01:30 -> 01:45;-250.00;-101.97;-101.97;-101.97;-101.97;-101.97;-101.97;-101.97;-101.97;-101.97;80.55;174.49;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 01:45 -> 02:00;-250.00;-101.99;-101.99;-101.99;-101.99;-101.99;-101.99;-101.99;-101.99;-101.99;80.55;174.49;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 02:00 -> 02:15;-250.00;-101.66;-101.66;-101.66;-101.66;-101.66;-101.66;-101.66;-101.66;-101.66;80.55;174.49;241.98;264.70;271.00;279.50;408.11;594.39;2000.00;2000.00;2000.00;2000.00
25/01/2023 02:15 -> 02:30;-250.00;-102.28;-102.28;-102.28;-102.28;-102.28;-102.28;-102.28;-102.28;-102.28;80.55;174.49;264.70;270.87;279.50;335.26;593.72;605.39;2000.00;2000.00;2000.00;2000.00
