Datetime,Quality status,Resolution code,Net regulation volume,System imbalance,Alpha,Marginal incremental price,Marginal decremental price,Positive imbalance price,Negative imbalance price
2023-01-31T16:45:00+00:00,NV,PT15M,381.095,-469.352,43.2,300.0,79.6,343.2,343.2
2023-01-31T16:30:00+00:00,NV,PT15M,381.681,-395.05,28.5,300.0,79.06,328.5,328.5
2023-01-31T16:15:00+00:00,NV,PT15M,390.405,-385.368,10.79,300.0,-6.01,310.79,310.79
2023-01-31T16:00:00+00:00,NV,PT15M,295.371,-240.037,11.45,313.02,62.25,324.47,324.47
2023-01-31T15:45:00+00:00,NV,PT15M,385.07,-414.664,6.33,200.62,79.6,206.95,206.95
2023-01-31T15:30:00+00:00,NV,PT15M,26.309,-41.061,0.0,199.6,79.6,199.6,199.6
2023-01-31T15:15:00+00:00,NV,PT15M,-79.568,11.236,0.0,199.6,-19.33,-19.33,-19.33
2023-01-31T15:00:00+00:00,NV,PT15M,-79.494,168.558,0.96,201.14,-75.58,-76.54,-76.54
2023-01-31T14:45:00+00:00,NV,PT15M,-126.53,100.167,0.0,199.6,50.0,50.0,50.0
2023-01-31T14:30:00+00:00,NV,PT15M,-268.815,257.761,8.21,199.6,50.0,41.79,41.79
2023-01-31T14:15:00+00:00,NV,PT15M,-239.448,232.634,11.15,199.6,50.0,38.85,38.85
2023-01-31T14:00:00+00:00,NV,PT15M,-313.284,299.542,26.17,198.12,50.0,23.83,23.83
2023-01-31T13:45:00+00:00,NV,PT15M,-332.653,354.313,12.84,194.72,50.0,37.16,37.16
2023-01-31T13:30:00+00:00,NV,PT15M,-205.988,197.325,0.98,196.42,74.6,73.62,73.62
2023-01-31T13:15:00+00:00,NV,PT15M,-13.393,12.113,0.0,198.5,74.6,74.6,74.6
2023-01-31T13:00:00+00:00,NV,PT15M,-281.765,240.601,3.51,195.46,71.44,67.92,67.92
2023-01-31T12:45:00+00:00,NV,PT15M,157.928,-136.199,0.0,270.73,74.33,270.73,270.73
2023-01-31T12:30:00+00:00,NV,PT15M,250.596,-246.074,8.7,283.75,74.6,292.45,292.45
2023-01-31T12:15:00+00:00,NV,PT15M,208.642,-326.944,9.62,199.04,74.6,208.66,208.66
2023-01-31T12:00:00+00:00,NV,PT15M,146.809,-185.0,0.9,198.77,74.6,199.67,199.67
