Prediction Datetime,Resolution code,Quarter hour,Input data availability,System imbalance forecast,"Probability in [-inf,-400]","Probability in [-400,-200]","Probability in [-200,0]","Probability in [0,200]","Probability in [200,400]","Probability in [400,inf]"
2023-01-31T08:49:08+00:00,PT1M,2023-01-31T08:45:00+00:00,1.0,38.71531601687481,9.601853424108667e-05,0.009930836046374463,0.2643123649343025,0.5798106156967834,0.13862295636952954,0.007227208418769137
2023-01-31T08:48:06+00:00,PT1M,2023-01-31T08:45:00+00:00,1.0,57.34203168956861,0.0017892212342448127,0.030616705016118306,0.30426129349174375,0.506652485479182,0.14109909689033287,0.015581197888378261
2023-01-31T08:47:06+00:00,PT1M,2023-01-31T08:45:00+00:00,1.0,42.45425772556911,0.004593284559997755,0.06125668897101899,0.48173185594560003,0.39177825612604344,0.05302308373138041,0.007616830665959355
2023-01-31T08:46:06+00:00,PT1M,2023-01-31T08:45:00+00:00,1.0,-14.584476768578075,0.010317420379180507,0.09369227687925245,0.5113339877639864,0.3373244849306979,0.041348168184129064,0.005983661862753931
2023-01-31T08:45:06+00:00,PT1M,2023-01-31T08:45:00+00:00,1.0,11.51508307135473,0.02059720780035849,0.12731722785306554,0.498749140588262,0.3137768255158733,0.03501771713129862,0.004541881111141936
2023-01-31T08:44:06+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-18.565243113838932,9.008689997834211e-13,3.9108363052079846e-05,0.8931340445764056,0.1068253302129239,1.5168444915219412e-06,2.2260625672513987e-12
2023-01-31T08:43:07+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-31.65421486202815,2.8330037074442102e-11,0.00016273565994125137,0.9073395383982871,0.0924929075121461,4.818364890784141e-06,3.640472052862341e-11
2023-01-31T08:42:07+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-49.40090942214074,3.335866079570927e-10,0.00037004809667509826,0.8676068911476035,0.1320000447487612,2.3014930522612496e-05,7.428508924781663e-10
2023-01-31T08:41:07+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-30.57937996056936,1.7036200995672942e-09,0.0005248016410535664,0.7392767665860759,0.26003615567564303,0.00016225308646534612,2.1307142127892756e-08
2023-01-31T08:40:06+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-26.017352171170245,6.943771781405799e-09,0.0007396661716972656,0.6177640805977518,0.38076644902621126,0.0007294681692529886,3.2909131495199827e-07
2023-01-31T08:39:06+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,-2.059243608176345,2.138308723727455e-08,0.0008599918325782579,0.45944526017026766,0.5368389212061189,0.002852804814990582,3.000592957298739e-06
2023-01-31T08:38:08+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,16.33811204283809,9.585061161845986e-08,0.0007340672119029665,0.27443689434006363,0.6923576799587563,0.03224653380558912,0.0002247288330764119
2023-01-31T08:37:06+00:00,PT1M,2023-01-31T08:30:00+00:00,1.0,35.380229665463446,3.396299440086933e-07,0.0010947879231052093,0.23670414556812144,0.69992103662747,0.061649229758231686,0.0006304604931277738
